V1,climate_change_affects,samp,samp2,bootstrap
534,Yes,"","",36
535,Yes,"","",37
536,Yes,"","",37
537,Yes,"","",28
538,Yes,"","",44
539,Yes,"","",29
540,Yes,"","",36
541,Yes,"","",38
542,Yes,"","",41
543,Yes,"","",41
544,Yes,"","",33
545,Yes,"","",44
546,Yes,"","",40
547,Yes,"","",37
548,Yes,"","",41
549,Yes,"","",39
550,Yes,"","",32
551,Yes,"","",42
552,Yes,"","",42
553,Yes,"","",38
554,Yes,"","",42
555,Yes,"","",38
556,Yes,"","",37
557,Yes,"","",33
558,Yes,"","",40
559,Yes,"","",40
560,Yes,"","",41
561,Yes,"","",37
562,Yes,"","",40
563,Yes,"","",37
564,Yes,"","",42
565,Yes,"","",37
566,Yes,"","",33
567,Yes,"","",42
568,Yes,"","",40
569,Yes,"","",34
570,Yes,"","",41
571,Yes,"","",37
572,Yes,"","",40
573,Yes,"","",34
574,Yes,"","",33
575,Yes,"","",45
576,Yes,"","",32
577,Yes,"","",42
578,Yes,"","",30
579,Yes,"","",32
580,Yes,"","",34
581,Yes,"","",42
582,Yes,"","",42
583,Yes,"","",39
584,Yes,"","",40
585,Yes,"","",38
586,Yes,"","",37
587,Yes,"","",38
588,Yes,"","",35
589,Yes,"","",38
590,Yes,"","",42
591,Yes,"","",37
592,Yes,"","",33
593,Yes,"","",32
594,Yes,"","",38
595,Yes,"","",38
596,Yes,"","",36
597,Yes,"","",44
598,Yes,"","",32
599,Yes,"","",36
600,Yes,"","",36
601,Yes,"","",42
602,Yes,"","",34
603,Yes,"","",37
604,Yes,"","",36
605,Yes,"","",32
606,Yes,"","",37
607,Yes,"","",39
608,Yes,"","",33
609,Yes,"","",39
610,Yes,"","",39
611,Yes,"","",39
612,Yes,"","",39
613,Yes,"","",33
614,Yes,"","",41
615,Yes,"","",38
616,Yes,"","",36
617,Yes,"","",35
618,Yes,"","",38
619,Yes,"","",34
620,Yes,"","",39
621,Yes,"","",40
622,Yes,"","",41
623,Yes,"","",37
624,Yes,"","",38
625,Yes,"","",39
626,Yes,"","",40
627,Yes,"","",35
628,Yes,"","",36
629,Yes,"","",31
630,Yes,"","",31
631,Yes,"","",30
632,Yes,"","",47
633,Yes,"","",36
634,Yes,"","",35
635,Yes,"","",44
636,Yes,"","",33
637,Yes,"","",38
638,Yes,"","",38
639,Yes,"","",37
640,Yes,"","",37
641,Yes,"","",37
642,Yes,"","",40
643,Yes,"","",42
644,Yes,"","",35
645,Yes,"","",38
646,Yes,"","",33
647,Yes,"","",33
648,Yes,"","",40
649,Yes,"","",41
650,Yes,"","",41
651,Yes,"","",41
652,Yes,"","",39
653,Yes,"","",37
654,Yes,"","",37
655,Yes,"","",33
656,Yes,"","",35
657,Yes,"","",43
658,Yes,"","",38
659,Yes,"","",32
660,Yes,"","",40
661,Yes,"","",42
662,Yes,"","",38
663,Yes,"","",36
664,Yes,"","",37
665,Yes,"","",41
666,Yes,"","",38
667,Yes,"","",40
668,Yes,"","",39
669,Yes,"","",31
670,Yes,"","",43
671,Yes,"","",40
672,Yes,"","",36
673,Yes,"","",41
674,Yes,"","",46
675,Yes,"","",31
676,Yes,"","",36
677,Yes,"","",41
678,Yes,"","",41
679,Yes,"","",45
680,Yes,"","",38
681,Yes,"","",42
682,Yes,"","",41
683,Yes,"","",39
684,Yes,"","",37
685,Yes,"","",33
686,Yes,"","",37
687,Yes,"","",36
688,Yes,"","",35
689,Yes,"","",31
690,Yes,"","",42
691,Yes,"","",37
692,Yes,"","",41
693,Yes,"","",39
694,Yes,"","",42
695,Yes,"","",30
696,Yes,"","",36
697,Yes,"","",35
698,Yes,"","",38
699,Yes,"","",29
700,Yes,"","",39
701,Yes,"","",38
702,Yes,"","",37
703,Yes,"","",35
704,Yes,"","",38
705,Yes,"","",36
706,Yes,"","",42
707,Yes,"","",29
708,Yes,"","",35
709,Yes,"","",39
710,Yes,"","",36
711,Yes,"","",40
712,Yes,"","",34
713,Yes,"","",37
714,Yes,"","",37
715,Yes,"","",31
716,Yes,"","",33
717,Yes,"","",38
718,Yes,"","",34
719,Yes,"","",38
720,Yes,"","",34
721,Yes,"","",37
722,Yes,"","",37
723,Yes,"","",36
724,Yes,"","",35
725,Yes,"","",33
726,Yes,"","",32
727,Yes,"","",40
728,Yes,"","",42
729,Yes,"","",41
730,Yes,"","",30
731,Yes,"","",42
732,Yes,"","",37
733,Yes,"","",32
734,Yes,"","",36
735,Yes,"","",29
736,Yes,"","",39
737,Yes,"","",30
738,Yes,"","",39
739,Yes,"","",34
740,Yes,"","",35
741,Yes,"","",34
742,Yes,"","",43
743,Yes,"","",42
744,Yes,"","",44
745,Yes,"","",38
746,Yes,"","",44
747,Yes,"","",37
748,Yes,"","",37
749,Yes,"","",47
750,Yes,"","",36
751,Yes,"","",31
752,Yes,"","",34
753,Yes,"","",41
754,Yes,"","",40
755,Yes,"","",33
756,Yes,"","",40
757,Yes,"","",39
758,Yes,"","",39
759,Yes,"","",36
760,Yes,"","",35
761,Yes,"","",39
762,Yes,"","",32
763,Yes,"","",39
764,Yes,"","",33
765,Yes,"","",39
766,Yes,"","",35
767,Yes,"","",35
768,Yes,"","",36
769,Yes,"","",37
770,Yes,"","",35
771,Yes,"","",34
772,Yes,"","",40
773,Yes,"","",42
774,Yes,"","",30
775,Yes,"","",31
776,Yes,"","",34
777,Yes,"","",35
778,Yes,"","",38
779,Yes,"","",39
780,Yes,"","",40
781,Yes,"","",35
782,Yes,"","",38
783,Yes,"","",33
784,Yes,"","",36
785,Yes,"","",42
786,Yes,"","",35
787,Yes,"","",40
788,Yes,"","",45
789,Yes,"","",42
790,Yes,"","",33
791,Yes,"","",37
792,Yes,"","",36
793,Yes,"","",34
794,Yes,"","",37
795,Yes,"","",36
796,Yes,"","",40
797,Yes,"","",40
798,Yes,"","",32
799,Yes,"","",35
800,Yes,"","",35
801,Yes,"","",39
802,Yes,"","",37
803,Yes,"","",43
804,Yes,"","",38
805,Yes,"","",45
806,Yes,"","",42
807,Yes,"","",40
808,Yes,"","",36
809,Yes,"","",39
810,Yes,"","",34
811,Yes,"","",36
812,Yes,"","",41
813,Yes,"","",37
814,Yes,"","",41
815,Yes,"","",37
816,Yes,"","",36
817,Yes,"","",36
818,Yes,"","",33
819,Yes,"","",35
820,Yes,"","",36
821,Yes,"","",37
822,Yes,"","",37
823,Yes,"","",33
824,Yes,"","",42
825,Yes,"","",37
826,Yes,"","",39
827,Yes,"","",36
828,Yes,"","",30
829,Yes,"","",43
830,Yes,"","",40
831,Yes,"","",39
832,Yes,"","",41
833,Yes,"","",32
834,Yes,"","",42
835,Yes,"","",36
836,Yes,"","",39
837,Yes,"","",39
838,Yes,"","",37
839,Yes,"","",34
840,Yes,"","",38
841,Yes,"","",36
842,Yes,"","",31
843,Yes,"","",32
844,Yes,"","",45
845,Yes,"","",42
846,Yes,"","",34
847,Yes,"","",38
848,Yes,"","",38
849,Yes,"","",37
850,Yes,"","",35
851,Yes,"","",39
852,Yes,"","",40
853,Yes,"","",37
854,Yes,"","",37
855,Yes,"","",43
856,Yes,"","",38
857,Yes,"","",34
858,Yes,"","",34
859,Yes,"","",39
860,Yes,"","",38
861,Yes,"","",42
862,Yes,"","",38
863,Yes,"","",38
864,Yes,"","",40
865,Yes,"","",34
866,Yes,"","",41
867,Yes,"","",35
868,Yes,"","",42
869,Yes,"","",27
870,Yes,"","",37
871,Yes,"","",42
872,Yes,"","",40
873,Yes,"","",40
874,Yes,"","",42
875,Yes,"","",42
876,Yes,"","",35
877,Yes,"","",33
878,Yes,"","",37
879,Yes,"","",32
880,Yes,"","",33
881,Yes,"","",37
882,Yes,"","",38
883,Yes,"","",35
884,Yes,"","",39
885,Yes,"","",36
886,Yes,"","",40
887,Yes,"","",37
888,Yes,"","",41
889,Yes,"","",40
890,Yes,"","",39
891,Yes,"","",35
892,Yes,"","",38
893,Yes,"","",37
894,Yes,"","",32
895,Yes,"","",32
896,Yes,"","",40
897,Yes,"","",34
898,Yes,"","",40
899,Yes,"","",36
900,Yes,"","",43
901,Yes,"","",40
902,Yes,"","",39
903,Yes,"","",44
904,Yes,"","",35
905,Yes,"","",42
906,Yes,"","",31
907,Yes,"","",41
908,Yes,"","",41
909,Yes,"","",37
910,Yes,"","",42
911,Yes,"","",36
912,Yes,"","",41
913,Yes,"","",40
914,Yes,"","",39
915,Yes,"","",32
916,Yes,"","",42
917,Yes,"","",37
918,Yes,"","",35
919,Yes,"","",32
920,Yes,"","",42
921,Yes,"","",38
922,Yes,"","",38
923,Yes,"","",40
924,Yes,"","",36
925,Yes,"","",32
926,Yes,"","",43
927,Yes,"","",38
928,Yes,"","",36
929,Yes,"","",37
930,Yes,"","",32
931,Yes,"","",43
932,Yes,"","",46
933,Yes,"","",38
934,Yes,"","",36
935,Yes,"","",39
936,Yes,"","",34
937,Yes,"","",39
938,Yes,"","",41
939,Yes,"","",37
940,Yes,"","",43
941,Yes,"","",43
942,Yes,"","",36
943,Yes,"","",35
944,Yes,"","",38
945,Yes,"","",39
946,Yes,"","",33
947,Yes,"","",45
948,Yes,"","",33
949,Yes,"","",37
950,Yes,"","",42
951,Yes,"","",31
952,Yes,"","",39
953,Yes,"","",39
954,Yes,"","",41
955,Yes,"","",42
956,Yes,"","",39
957,Yes,"","",41
958,Yes,"","",43
959,Yes,"","",41
960,Yes,"","",40
961,Yes,"","",45
962,Yes,"","",40
963,Yes,"","",42
964,Yes,"","",32
965,Yes,"","",33
966,Yes,"","",34
967,Yes,"","",37
968,Yes,"","",34
969,Yes,"","",38
970,Yes,"","",34
971,Yes,"","",36
972,Yes,"","",34
973,Yes,"","",36
974,Yes,"","",34
975,Yes,"","",37
976,Yes,"","",38
977,Yes,"","",43
978,Yes,"","",33
979,Yes,"","",37
980,Yes,"","",37
981,Yes,"","",34
982,Yes,"","",35
983,Yes,"","",37
984,Yes,"","",41
985,Yes,"","",32
986,Yes,"","",38
987,Yes,"","",35
988,Yes,"","",38
989,Yes,"","",31
990,Yes,"","",35
991,Yes,"","",38
992,Yes,"","",35
993,Yes,"","",41
994,Yes,"","",38
995,Yes,"","",44
996,Yes,"","",40
997,Yes,"","",37
998,Yes,"","",42
999,Yes,"","",40
1000,Yes,"","",47
1001,Yes,"","",""
1002,Yes,"","",""
1003,Yes,"","",""
1004,Yes,"","",""
1005,Yes,"","",""
1006,Yes,"","",""
1007,Yes,"","",""
1008,Yes,"","",""
1009,Yes,"","",""
1010,Yes,"","",""
1011,Yes,"","",""
1012,Yes,"","",""
1013,Yes,"","",""
1014,Yes,"","",""
1015,Yes,"","",""
1016,Yes,"","",""
1017,Yes,"","",""
1018,Yes,"","",""
1019,Yes,"","",""
1020,Yes,"","",""
1021,Yes,"","",""
1022,Yes,"","",""
1023,Yes,"","",""
1024,Yes,"","",""
1025,Yes,"","",""
1026,Yes,"","",""
1027,Yes,"","",""
1028,Yes,"","",""
1029,Yes,"","",""
1030,Yes,"","",""
1031,Yes,"","",""
1032,Yes,"","",""
1033,Yes,"","",""
1034,Yes,"","",""
1035,Yes,"","",""
1036,Yes,"","",""
1037,Yes,"","",""
1038,Yes,"","",""
1039,Yes,"","",""
1040,Yes,"","",""
1041,Yes,"","",""
1042,Yes,"","",""
1043,Yes,"","",""
1044,Yes,"","",""
1045,Yes,"","",""
1046,Yes,"","",""
1047,Yes,"","",""
1048,Yes,"","",""
1049,Yes,"","",""
1050,Yes,"","",""
1051,Yes,"","",""
1052,Yes,"","",""
1053,Yes,"","",""
1054,Yes,"","",""
1055,Yes,"","",""
1056,Yes,"","",""
1057,Yes,"","",""
1058,Yes,"","",""
1059,Yes,"","",""
1060,Yes,"","",""
1061,Yes,"","",""
1062,Yes,"","",""
1063,Yes,"","",""
1064,Yes,"","",""
1065,Yes,"","",""
1066,Yes,"","",""
1067,Yes,"","",""
1068,Yes,"","",""
1069,Yes,"","",""
1070,Yes,"","",""
1071,Yes,"","",""
1072,Yes,"","",""
1073,Yes,"","",""
1074,Yes,"","",""
1075,Yes,"","",""
1076,Yes,"","",""
1077,Yes,"","",""
1078,Yes,"","",""
1079,Yes,"","",""
1080,Yes,"","",""
1081,Yes,"","",""
1082,Yes,"","",""
1083,Yes,"","",""
1084,Yes,"","",""
1085,Yes,"","",""
1086,Yes,"","",""
1087,Yes,"","",""
1088,Yes,"","",""
1089,Yes,"","",""
1090,Yes,"","",""
1091,Yes,"","",""
1092,Yes,"","",""
1093,Yes,"","",""
1094,Yes,"","",""
1095,Yes,"","",""
1096,Yes,"","",""
1097,Yes,"","",""
1098,Yes,"","",""
1099,Yes,"","",""
1100,Yes,"","",""
1101,Yes,"","",""
1102,Yes,"","",""
1103,Yes,"","",""
1104,Yes,"","",""
1105,Yes,"","",""
1106,Yes,"","",""
1107,Yes,"","",""
1108,Yes,"","",""
1109,Yes,"","",""
1110,Yes,"","",""
1111,Yes,"","",""
1112,Yes,"","",""
1113,Yes,"","",""
1114,Yes,"","",""
1115,Yes,"","",""
1116,Yes,"","",""
1117,Yes,"","",""
1118,Yes,"","",""
1119,Yes,"","",""
1120,Yes,"","",""
1121,Yes,"","",""
1122,Yes,"","",""
1123,Yes,"","",""
1124,Yes,"","",""
1125,Yes,"","",""
1126,Yes,"","",""
1127,Yes,"","",""
1128,Yes,"","",""
1129,Yes,"","",""
1130,Yes,"","",""
1131,Yes,"","",""
1132,Yes,"","",""
1133,Yes,"","",""
1134,Yes,"","",""
1135,Yes,"","",""
1136,Yes,"","",""
1137,Yes,"","",""
1138,Yes,"","",""
1139,Yes,"","",""
1140,Yes,"","",""
1141,Yes,"","",""
1142,Yes,"","",""
1143,Yes,"","",""
1144,Yes,"","",""
1145,Yes,"","",""
1146,Yes,"","",""
1147,Yes,"","",""
1148,Yes,"","",""
1149,Yes,"","",""
1150,Yes,"","",""
1151,Yes,"","",""
1152,Yes,"","",""
1153,Yes,"","",""
1154,Yes,"","",""
1155,Yes,"","",""
1156,Yes,"","",""
1157,Yes,"","",""
1158,Yes,"","",""
1159,Yes,"","",""
1160,Yes,"","",""
1161,Yes,"","",""
1162,Yes,"","",""
1163,Yes,"","",""
1164,Yes,"","",""
1165,Yes,"","",""
1166,Yes,"","",""
1167,Yes,"","",""
1168,Yes,"","",""
1169,Yes,"","",""
1170,Yes,"","",""
1171,Yes,"","",""
1172,Yes,"","",""
1173,Yes,"","",""
1174,Yes,"","",""
1175,Yes,"","",""
1176,Yes,"","",""
1177,Yes,"","",""
1178,Yes,"","",""
1179,Yes,"","",""
1180,Yes,"","",""
1181,Yes,"","",""
1182,Yes,"","",""
1183,Yes,"","",""
1184,Yes,"","",""
1185,Yes,"","",""
1186,Yes,"","",""
1187,Yes,"","",""
1188,Yes,"","",""
1189,Yes,"","",""
1190,Yes,"","",""
1191,Yes,"","",""
1192,Yes,"","",""
1193,Yes,"","",""
1194,Yes,"","",""
1195,Yes,"","",""
1196,Yes,"","",""
1197,Yes,"","",""
1198,Yes,"","",""
1199,Yes,"","",""
1200,Yes,"","",""
1201,Yes,"","",""
1202,Yes,"","",""
1203,Yes,"","",""
1204,Yes,"","",""
1205,Yes,"","",""
1206,Yes,"","",""
1207,Yes,"","",""
1208,Yes,"","",""
1209,Yes,"","",""
1210,Yes,"","",""
1211,Yes,"","",""
1212,Yes,"","",""
1213,Yes,"","",""
1214,Yes,"","",""
1215,Yes,"","",""
1216,Yes,"","",""
1217,Yes,"","",""
1218,Yes,"","",""
1219,Yes,"","",""
1220,Yes,"","",""
1221,Yes,"","",""
1222,Yes,"","",""
1223,Yes,"","",""
1224,Yes,"","",""
1225,Yes,"","",""
1226,Yes,"","",""
1227,Yes,"","",""
1228,Yes,"","",""
1229,Yes,"","",""
1230,Yes,"","",""
1231,Yes,"","",""
1232,Yes,"","",""
1233,Yes,"","",""
1234,Yes,"","",""
1235,Yes,"","",""
1236,Yes,"","",""
1237,Yes,"","",""
1238,Yes,"","",""
1239,Yes,"","",""
1240,Yes,"","",""
1241,Yes,"","",""
1242,Yes,"","",""
1243,Yes,"","",""
1244,Yes,"","",""
1245,Yes,"","",""
